block,tmnt,noTim,morph
1,H,1,green
2,H,1,green
3,H,3,green
4,H,4,green
5,H,4,green
1,L,3,green
2,L,0,green
3,L,1,green
4,L,1,green
5,L,1,green
1,H,5,striped
2,H,9,striped
3,H,11,striped
4,H,7,striped
5,H,9,striped
1,L,2,striped
2,L,3,striped
3,L,5,striped
4,L,3,striped
5,L,6,striped
