block,tmnt,green,striped,total,cat1,cat2,cat3,catA,catB,catC,catTotal,sppRich
1,H,1,5,6,2,2,0,1,0,0,5,3
2,H,1,9,10,5,0,0,1,0,0,6,2
3,H,3,11,14,8,3,1,1,1,1,15,6
4,H,4,7,11,8,0,0,1,0,0,9,2
5,H,4,9,13,7,3,2,0,0,0,12,3
1,L,3,2,5,9,3,0,2,3,0,17,4
2,L,0,3,3,4,1,0,0,0,0,5,2
3,L,1,5,6,6,4,1,1,0,0,12,4
4,L,1,3,4,6,1,0,0,0,0,7,2
5,L,1,6,7,10,1,0,1,0,0,12,3
