expt,gPro_t0,gPro_t1,sel
A,0.5,0.863636364,-0.363636364
A,0.5,0.363636364,0.136363636
A,0.5,0.322580645,0.177419355
A,0.5,0.277777778,0.222222222
A,0.5,0.352941176,0.147058824
B,0.5,0.344827586,0.155172414
B,0.5,0.533333333,-0.033333333
B,0.5,0.315789474,0.184210526
B,0.5,0.421052632,0.078947368
C,0.5,0.6,-0.1
LCC,0.18,0.06,0.12
LCC,0.26,0.07,0.19
LCC,0.18,0.14,0.04
LCC,0.2,0,0.2
LCC,0.24,0.18,0.06
MR,0.625,0.4,0.225
MR,0.5833,0.333,0.2503
MR,0.5833,0.444,0.1393
MR,0.5833,0.6667,-0.0834
